shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
ES:Euskotren:RoutePoints:1846:,43.264491,-2.926253,1,0.0
ES:Euskotren:RoutePoints:1846:,43.26464,-2.926501,2,26.0
ES:Euskotren:RoutePoints:1846:,43.264927,-2.926976,3,76.0
ES:Euskotren:RoutePoints:1846:,43.265244,-2.927398,4,125.132
ES:Euskotren:RoutePoints:1846:,43.265568,-2.927826,5,175.132
ES:Euskotren:RoutePoints:1846:,43.265895,-2.928254,6,225.446
ES:Euskotren:RoutePoints:1846:,43.266246,-2.92864,7,275.446
ES:Euskotren:RoutePoints:1846:,43.266316,-2.928717,8,285.446
ES:Euskotren:RoutePoints:1846:,43.266597,-2.929026,9,325.446
ES:Euskotren:RoutePoints:1846:,43.266948,-2.929412,10,375.446
ES:Euskotren:RoutePoints:1846:,43.267297,-2.929769,11,423.829
ES:Euskotren:RoutePoints:1846:,43.267619,-2.930118,12,469.425
ES:Euskotren:RoutePoints:1846:,43.26795,-2.930505,13,517.789
ES:Euskotren:RoutePoints:1846:,43.268173,-2.931031,14,567.124
ES:Euskotren:RoutePoints:1846:,43.268161,-2.931609,15,614.073
ES:Euskotren:RoutePoints:1846:,43.268111,-2.932218,16,663.79
ES:Euskotren:RoutePoints:1846:,43.268088,-2.932833,17,713.79
ES:Euskotren:RoutePoints:1846:,43.268068,-2.9334,18,759.79
ES:Euskotren:RoutePoints:1846:,43.268047,-2.933966,19,805.791
ES:Euskotren:RoutePoints:1846:,43.267944,-2.934547,20,854.313
ES:Euskotren:RoutePoints:1846:,43.267953,-2.935141,21,902.586
ES:Euskotren:RoutePoints:1846:,43.268213,-2.935604,22,949.933
ES:Euskotren:RoutePoints:1846:,43.268447,-2.936098,23,997.691
ES:Euskotren:RoutePoints:1846:,43.268657,-2.936612,24,1045.457
ES:Euskotren:RoutePoints:1846:,43.268713,-2.936758,25,1058.9
ES:Euskotren:RoutePoints:1846:,43.268823,-2.937162,26,1093.9
ES:Euskotren:RoutePoints:1846:,43.268932,-2.937763,27,1144.121
ES:Euskotren:RoutePoints:1846:,43.268987,-2.938369,28,1193.685
ES:Euskotren:RoutePoints:1846:,43.26898,-2.938991,29,1244.169
ES:Euskotren:RoutePoints:1846:,43.26889,-2.939585,30,1293.406
ES:Euskotren:RoutePoints:1846:,43.26876,-2.940149,31,1341.406
ES:Euskotren:RoutePoints:1846:,43.268596,-2.940711,32,1390.519
ES:Euskotren:RoutePoints:1846:,43.268592,-2.940722,33,1391.519
ES:Euskotren:RoutePoints:1846:,43.268375,-2.941262,34,1441.519
ES:Euskotren:RoutePoints:1846:,43.268083,-2.941734,35,1491.716
ES:Euskotren:RoutePoints:1846:,43.267742,-2.942136,36,1541.713
ES:Euskotren:RoutePoints:1846:,43.267373,-2.942481,37,1591.283
ES:Euskotren:RoutePoints:1846:,43.266982,-2.942784,38,1641.283
ES:Euskotren:RoutePoints:1846:,43.266604,-2.943103,39,1690.537
ES:Euskotren:RoutePoints:1846:,43.266338,-2.943595,40,1740.226
ES:Euskotren:RoutePoints:1846:,43.266272,-2.943903,41,1766.226
ES:Euskotren:RoutePoints:1846:,43.26621,-2.944186,42,1790.226
ES:Euskotren:RoutePoints:1846:,43.266067,-2.94474,43,1837.9
ES:Euskotren:RoutePoints:1846:,43.26575,-2.945171,44,1887.507
ES:Euskotren:RoutePoints:1846:,43.265394,-2.945543,45,1937.236
ES:Euskotren:RoutePoints:1846:,43.264952,-2.945554,46,1986.372
ES:Euskotren:RoutePoints:1846:,43.264515,-2.945686,47,2036.053
ES:Euskotren:RoutePoints:1846:,43.264102,-2.94586,48,2084.053
ES:Euskotren:RoutePoints:1846:,43.263671,-2.946041,49,2134.053
ES:Euskotren:RoutePoints:1846:,43.263241,-2.946221,50,2184.053
ES:Euskotren:RoutePoints:1846:,43.263198,-2.94624,51,2189.053
ES:Euskotren:RoutePoints:1846:,43.262811,-2.946402,52,2234.053
ES:Euskotren:RoutePoints:1846:,43.262381,-2.946582,53,2283.926
ES:Euskotren:RoutePoints:1846:,43.261949,-2.946756,54,2333.926
ES:Euskotren:RoutePoints:1846:,43.261517,-2.94693,55,2383.926
