stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
ES:Euskotren:Quay:1468_Plataforma_Q1:,,Atxuri,,"Calle Atxuri, 5-6 / Bilbao",43.254113,-2.921513,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1468:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:1469_Plataforma_Q1:,,Uribitarte,,Calle Uribitarte / Bilbao,43.266303,-2.928733,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1469:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:1469_Plataforma_Q2:,,Uribitarte,,Calle Uribitarte / Bilbao,43.266303,-2.928733,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1469:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:1470_Plataforma_Q1:,,San Mames,,Av Juan Antonio Zunzunegui / Bilbao,43.261742,-2.948939,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1470:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:1470_Plataforma_Q2:,,San Mames,,Av Juan Antonio Zunzunegui / Bilbao,43.261742,-2.948939,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1470:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:1471_Plataforma_Q1:,,Abando,,"Calle Navarra, 5 / Bilbao",43.261052,-2.926658,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1471:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:1472_Plataforma_Q1:,,Hospital/Ospitalea,,Calle Gurtubay / Bilbao,43.259796,-2.951244,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1472:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:1472_Plataforma_Q2:,,Hospital/Ospitalea,,Calle Gurtubay / Bilbao,43.259796,-2.951244,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1472:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:1473_Plataforma_Q1:,,Ribera,,Calle de la Ribera / Bilbao,43.255795,-2.924369,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1473:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:1474_Plataforma_Q1:,,Sabino Arana,,"Av de Sabino Arana, 8 / Bilbao",43.263192,-2.946222,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1474:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:1474_Plataforma_Q2:,,Sabino Arana,,"Av de Sabino Arana, 8 / Bilbao",43.263192,-2.946222,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1474:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:1475_Plataforma_Q1:,,Abandoibarra,,Av de Abandoibarra / Bilbao,43.268585,-2.9407,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1475:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:1475_Plataforma_Q2:,,Abandoibarra,,Av de Abandoibarra / Bilbao,43.268585,-2.9407,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1475:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:1476_Plataforma_Q1:,,Guggenheim,,Av de Abandoibarra / Bilbao,43.2687,-2.936763,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1476:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:1476_Plataforma_Q2:,,Guggenheim,,Av de Abandoibarra / Bilbao,43.2687,-2.936763,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1476:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:1477_Plataforma_Q2:,,La Casilla,,"C/ Autonomía, 56 / Bilbao",43.257767,-2.944349,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1477:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:1478_Plataforma_Q1:,,Pio Baroja,,"Uribitarte Ibiltokia, 1 / Bilbao",43.264483,-2.926262,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1478:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:1478_Plataforma_Q2:,,Pio Baroja,,"Uribitarte Ibiltokia, 1 / Bilbao",43.264483,-2.926262,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1478:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:1479_Plataforma_Q1:,,Euskalduna,,Av de Abandoibarra / Bilbao,43.266261,-2.943894,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1479:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:1479_Plataforma_Q2:,,Euskalduna,,Av de Abandoibarra / Bilbao,43.266261,-2.943894,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1479:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:1480_Plataforma_Q1:,,Arriaga,,"Calle de la Ribera, 4 / Bilbao",43.25907,-2.925938,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1480:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:1480_Plataforma_Q2:,,Arriaga,,"Calle de la Ribera, 4 / Bilbao",43.25907,-2.925938,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1480:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:1481_Plataforma_Q1:,,Basurto,,,43.257993,-2.949072,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1481:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:1481_Plataforma_Q2:,,Basurto,,,43.257993,-2.949072,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1481:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:2673_Plataforma_Q1:,,Abusu,,,43.245503,-2.915783,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:2673:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:2673_Plataforma_Q2:,,Abusu,,,43.245503,-2.915783,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:2673:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:2674_Plataforma_Q1:,,Bolueta,,"48004 Bilbao, Vizcaya / Bilbao",43.247252,-2.904919,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:2674:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:2674_Plataforma_Q2:,,Bolueta,,"48004 Bilbao, Vizcaya / Bilbao",43.247252,-2.904919,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:2674:,,0,ES:Euskotren:Level:Level:1:,
