stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,wheelchair_boarding
1,00001,BOLUETA,,43.24731844273546,-2.905065102536422,1,0,1
2,00002,ABUSU,,43.24567841175157,-2.9158362466883774,1,0,1
3,00003,ATXURI,,43.25433091862498,-2.9215982372165423,1,0,1
4,00004,RIBERA,,43.25590137442396,-2.924447672379506,1,0,1
5,00005,ARRIAGA,,43.259273119416584,-2.92595073137201,1,0,1
6,00006,ABANDO,,43.26110035891003,-2.9267270174661513,1,0,1
7,00007,PIO BAROJA,,43.26452535096058, -2.926151989043723,1,0,1
8,00008,URIBITARTE,,43.26644059562131, -2.9287192736998313,1,0,1
9,00009,GUGGENHEIM,,43.26883014010054, -2.9366173416849213,1,0,1
10,00010,ABANDOIBARRA,,43.26880652416583, -2.9407000025356758,1,0,1
11,00011,EUSKALDUNA,,43.266271425669146, -2.943902560067456,1,0,1
12,00012,SABINO ARANA,,43.26315257423861, -2.946254941070983,1,0,1
13,00013,SAN MAMES,,43.26193765846869, -2.949033709602719,1,0,1
14,00014,HOSPITAL/OSPITALEA,,43.2597734077026, -2.9512438498396114,1,0,1
15,00015,BASURTO,,43.25801929240627, -2.949092718225351,1,0,1
16,00016,LA CASILLA,,43.25777707205518, -2.944393488017484,1,0,1
